Genes	Disease	Inheritance	MIM	Disorder_Group	Project	GenCC
COL3A1	Ehlers-Danlos syndrome, type 4	AD	130050	Skeletal, skin, and connective tissue disorders	BabySeq_GroupA	Strong-PanelApp Australia;Genomics England PanelApp;Labcorp Genetics (formerly Invitae); Definitive-Laboratory for Molecular Medicine;G2P
COL4A5	X-linked Alport syndrome	XLD	301050	Renal disorders	BabySeq_GroupA	Strong-PanelApp Australia;Genomics England PanelApp;Labcorp Genetics (formerly Invitae); Definitive-Myriad Women’s Health
COL5A1	Ehlers-Danlos syndrome, classic type, 1	AD	130000	Skeletal, skin, and connective tissue disorders	BabySeq_GroupA	Strong-PanelApp Australia;Genomics England PanelApp; Definitive-Ambry Genetics; Strong-Labcorp Genetics (formerly Invitae)
COL5A2	Ehlers-Danlos syndrome, classic type, 2	AD	130010	Skeletal, skin, and connective tissue disorders	BabySeq_GroupA	Strong-Genomics England PanelApp;Labcorp Genetics (formerly Invitae)
COL6A1	Ullrich congenital muscular dystrophy 1A	AR	254090	Neuromuscular and musculoskeletal disorders	BabySeq_GroupA	Strong-Genomics England PanelApp;Labcorp Genetics (formerly Invitae)
COL6A2	Ullrich congenital muscular dystrophy 1B	AR	620727	Neuromuscular and musculoskeletal disorders	BabySeq_GroupA	Definitive-G2P
COL6A3	Ullrich congenital muscular dystrophy 1C	AR	620728	Neuromuscular and musculoskeletal disorders	BabySeq_GroupA	Definitive-G2P
CRTAP	Osteogenesis imperfecta type 7	AR	610682	Skeletal, skin, and connective tissue disorders	BabySeq_GroupA	Strong-Ambry Genetics;Labcorp Genetics (formerly Invitae)
CSRP3	Hypertrophic cardiomyopathy 12	AD	612124	Cardiac and vascular disorders	BabySeq_GroupB	Strong-PanelApp Australia;Labcorp Genetics (formerly Invitae); Moderate-Ambry Genetics
CYBB	Granulomatous disease, chronic, X-linked	XLR	306400	Autoimmune, inflammatory, and immunogenetic disorders	BabySeq_GroupA	Definitive-Ambry Genetics;G2P; Strong-Labcorp Genetics (formerly Invitae)
CYP21A2	Classic congenital adrenal hyperplasia due to 21-hydroxylase deficiency	AR	201910	Endocrine disorders	BabySeq_GroupA	Strong-Labcorp Genetics (formerly Invitae); Definitive-Laboratory for Molecular Medicine;Myriad Women’s Health
CYP27B1	Vitamin D-dependent rickets, type 1A	AR	264700	Skeletal, skin, and connective tissue disorders	BabySeq_GroupA	Strong-Labcorp Genetics (formerly Invitae)
DBT	Maple syrup urine disease type 2	AR	620699	Inherited disorders of metabolism	BabySeq_GroupA	Definitive-G2P;Myriad Women’s Health
DDB2	Xeroderma pigmentosum, group E	AR	278740	Skeletal, skin, and connective tissue disorders	BabySeq_GroupA	Definitive-G2P;ClinGen; Strong-Genomics England PanelApp;Labcorp Genetics (formerly Invitae)
DDC	Deficiency of aromatic-L-amino-acid decarboxylase	AR	608643	Inherited disorders of metabolism	BabySeq_GroupA	Definitive-G2P;Ambry Genetics;ClinGen; Strong-Labcorp Genetics (formerly Invitae)
DES	Dilated cardiomyopathy 1I	AD	604765	Cardiac and vascular disorders	BabySeq_GroupB	Strong-Ambry Genetics;Labcorp Genetics (formerly Invitae); Definitive-G2P
DKC1	Dyskeratosis congenita, X-linked	XLR	305000	Skeletal, skin, and connective tissue disorders	BabySeq_GroupB	Strong-Labcorp Genetics (formerly Invitae); Definitive-G2P;ClinGen
DNAAF1	Primary ciliary dyskinesia 13	AR	613193	Respiratory system disorders	BabySeq_GroupA	Strong-PanelApp Australia;Labcorp Genetics (formerly Invitae); Definitive-ClinGen
EDA	Hypohidrotic X-linked ectodermal dysplasia	XLR	305100	Skeletal, skin, and connective tissue disorders	BabySeq_GroupA	Definitive-G2P; Strong-Labcorp Genetics (formerly Invitae)
EFTUD2	Mandibulofacial dysostosis-microcephaly syndrome	AD	610536	Skeletal, skin, and connective tissue disorders	BabySeq_GroupA	Definitive-G2P;ClinGen; Strong-Labcorp Genetics (formerly Invitae)
EMD	Emery-Dreifuss muscular dystrophy 1, X-linked	XLR	310300	Neuromuscular and musculoskeletal disorders	BabySeq_GroupA	Definitive-Ambry Genetics; Strong-Labcorp Genetics (formerly Invitae)
ERCC2	Xeroderma pigmentosum, group D	AR	278730	Skeletal, skin, and connective tissue disorders	BabySeq_GroupA	Strong-Genomics England PanelApp;Labcorp Genetics (formerly Invitae); Definitive-Laboratory for Molecular Medicine;G2P;ClinGen
ERCC5	Xeroderma pigmentosum, group G	AR	278780	Tumor predisposition syndromes	BabySeq_GroupA	Definitive-G2P;Ambry Genetics;ClinGen; Strong-Genomics England PanelApp;Labcorp Genetics (formerly Invitae)
ERCC6	Cockayne syndrome type 2	AR	133540	Complex genetic syndromes	BabySeq_GroupA	Strong-Genomics England PanelApp;PanelApp Australia;Labcorp Genetics (formerly Invitae); Definitive-G2P;Myriad Women’s Health
ERCC8	Cockayne syndrome type 1	AR	216400	Complex genetic syndromes	BabySeq_GroupA	Definitive-G2P;Laboratory for Molecular Medicine;Myriad Women’s Health;ClinGen; Strong-Genomics England PanelApp;PanelApp Australia;Labcorp Genetics (formerly Invitae)
F2	Congenital prothrombin deficiency	AR	613679	Haematological disorders	BabySeq_GroupA	Strong-Laboratory for Molecular Medicine;Labcorp Genetics (formerly Invitae); Definitive-ClinGen
FAM20C	Lethal osteosclerotic bone dysplasia	AR	259775	Skeletal, skin, and connective tissue disorders	BabySeq_GroupA	Definitive-G2P; Strong-Genomics England PanelApp;Labcorp Genetics (formerly Invitae); Moderate-Ambry Genetics
CCNQ	Syndactyly-telecanthus-anogenital and renal malformations syndrome	XLD	300707	Complex genetic syndromes	BabySeq_GroupA	Definitive-G2P; Strong-Labcorp Genetics (formerly Invitae)
FBN2	Congenital contractural arachnodactyly	AD	121050	Skeletal, skin, and connective tissue disorders	BabySeq_GroupA	Definitive-G2P; Strong-PanelApp Australia;Genomics England PanelApp;Labcorp Genetics (formerly Invitae)
FGD1	Aarskog syndrome	XLR	305400	Complex genetic syndromes	BabySeq_GroupA	Strong-Labcorp Genetics (formerly Invitae); Definitive-G2P;ClinGen
FGD4	Charcot-Marie-Tooth disease type 4H	AR	609311	Neuromuscular and musculoskeletal disorders	BabySeq_GroupA	Strong-Labcorp Genetics (formerly Invitae)
FKRP	Autosomal recessive limb-girdle muscular dystrophy type 2I	AR	607155	Neuromuscular and musculoskeletal disorders	BabySeq_GroupA	Strong-Ambry Genetics;Labcorp Genetics (formerly Invitae); Definitive-Laboratory for Molecular Medicine
FKRP	Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A1	AR	236670	Neuromuscular and musculoskeletal disorders	BabySeq_GroupA	
FKTN	Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 4	AR	253800	Neuromuscular and musculoskeletal disorders	BabySeq_GroupA	Strong-Genomics England PanelApp;Labcorp Genetics (formerly Invitae); Definitive-G2P
FKTN	Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 4	AR	236670	Neuromuscular and musculoskeletal disorders	BabySeq_GroupA	
FOXC1	Axenfeld-Rieger syndrome type 3	AD	602482	Eye disorders	BabySeq_GroupA	Definitive-G2P; Strong-PanelApp Australia;Labcorp Genetics (formerly Invitae)
FOXF1	Alveolar capillary dysplasia with pulmonary venous misalignment	AD	265380	Respiratory system disorders	BabySeq_GroupA	Definitive-G2P; Strong-Labcorp Genetics (formerly Invitae)
